100,0,120
1000,0,259
10000,0,460
100000,2,184
1000000,18,512
10000000,180,718
100000000,1805,664
1000000000,18160,916
100,0,121
1000,0,246
10000,0,444
100000,2,298
1000000,18,242
10000000,180,121
100000000,1813,901
1000000000,18093,136
100,0,102
1000,0,226
10000,0,443
100000,2,177
1000000,18,734
10000000,186,633
100000000,1843,234
1000000000,18049,597
100,0,120
1000,0,269
10000,0,472
100000,2,146
1000000,18,612
10000000,186,337
100000000,1848,620
1000000000,18167,186
100,0,105
1000,0,233
10000,0,445
100000,2,222
1000000,18,825
10000000,186,601
100000000,1837,796
1000000000,18083,929
