43402795260,721
51879830826,6907
30517057408,6711
42046944546,6825
35265008776,6698
43402743190,6774
49844934996,6726
49845950634,6789
52558407240,6738
52896666754,6763
42385646808,6779
38656510550,6733
38655520944,6824
40012178924,6782
48149652888,6704
31534388136,6895
45437560878,6761
41028806546,6718
36620833458,6722
42725026154,7040
41707539172,6774
47472092164,6722
47811315198,6750
42046918524,6769
41029457584,6784
51879336056,6913
37637408948,6766
32552213656,6707
40012152888,6712
51540451500,6760
46454006186,6798
39334461960,6743
41707773560,6719
51201540894,6996
29838975812,6898
42725130310,6852
34586770928,6709
43402691106,6722
51201358608,6944
51202426330,6726
49167374252,6774
52896666754,6764
41707513128,6802
38656458466,6941
40011840388,6780
39334097328,6851
46115095596,6830
31534388136,6856
42046736226,6769
36959587794,6763
36620833458,6772
42725026154,6812
41707539172,6997
47472092164,6806
47811315198,6835
42046918524,6742
41029457584,6788
51879336056,7029
37637408948,6826
32552213656,7039
40012152888,6885
51540451500,6932
46454006186,6808
39334461960,6776
41707773560,6778
51201540894,6772
29838975812,6773
42725130310,6834
34586770928,6943
43402691106,6825
51201358608,6714
51202426330,6698
49167374252,6707
52896666754,6790
41707513128,6764
38656458466,6692
40011840388,6760
39334097328,6701
46115095596,7715
31534388136,6841
42046736226,6685
36959587794,6686
36620833458,6715
42725026154,6708
41707539172,6755
47472092164,6683
47811315198,6686
42046918524,6834
41029457584,6757
51879336056,6974
37637408948,6978
32552213656,6876
40012152888,6897
51540451500,6680
46454006186,6724
39334461960,6755
41707773560,6868
49167139854,6792
29160842132,6745
40012647670,6742
32552421968,6740
